stair.thisTrialN,stair.stepSize,stair.intensity,text.started,key_resp.started,key_resp.keys,key_resp.rt,ISI.started,trial_resp.started,response.started,stair.response,trial_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,20.06051700003445,20.06051700003445,space,1.5451373000396416,,,,,,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
0,40,300.0,,,,,1.0257451999932528,25.5806833000388,25.5806833000388,0,0.25457879999885336,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
1,40,340.0,,,,,0.9995480999932624,29.796822500007693,29.796822500007693,0,8.527104799984954,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
2,40,380.0,,,,,1.0005417999927886,42.27835540001979,42.27835540001979,0,1.4852682999917306,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
3,40,400.0,,,,,1.000537300016731,47.72774430003483,47.72774430003483,0,2.0238440000102855,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
4,40,400.0,,,,,0.9999491000198759,53.710793900012504,53.710793900012504,1,3.0667410000460222,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
5,40,360.0,,,,,1.0004403999773785,60.74278530001175,60.74278530001175,0,1.1904016000335105,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
6,40,400.0,,,,,1.0008916999795474,65.89212700002827,65.89212700002827,0,0.5128310999716632,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
7,40,400.0,,,,,1.000861199980136,70.35834179999074,70.35834179999074,1,0.4048971000011079,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
8,30,400.0,,,,,1.000567500013858,74.72446860000491,74.72446860000491,1,1.3668935999739915,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
9,30,370.0,,,,,1.000528900010977,80.05719240003964,80.05719240003964,0,0.5666230000206269,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
10,30,400.0,,,,,1.000684300030116,84.57320550002623,84.57320550002623,1,2.6213980999891646,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
11,30,400.0,,,,,1.0007754000253044,91.155675099988,91.155675099988,0,0.09064490004675463,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
12,30,400.0,,,,,1.000496499997098,95.20517820003442,95.20517820003442,0,0.9212016999954358,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
13,30,400.0,,,,,0.9995953000034206,100.08781940001063,100.08781940001063,1,1.4285077000386082,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
14,30,400.0,,,,,1.000363599974662,105.47039510001196,105.47039510001196,0,1.4424715000204742,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
15,30,400.0,,,,,1.0002749999985099,110.8701749999891,110.8701749999891,0,2.7584654000238515,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
16,30,400.0,,,,,1.0004750000080094,117.58561609999742,117.58561609999742,0,0.8453863000031561,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
17,30,400.0,,,,,1.000228299992159,122.3851690000156,122.3851690000156,0,1.579618500021752,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
18,30,400.0,,,,,0.999472199997399,127.91745120001724,127.91745120001724,1,0.9645996000035666,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
19,30,400.0,,,,,1.00052980001783,132.83340699999826,132.83340699999826,0,3.1172783999936655,282538,001,2023-02-16_15h29.06.313,Adaptive_staircase_Diar,2022.2.5,60.09485371178165,
,,,,,,,1.0006332999910228,,,,,,,,,,,
